Date,Season,Opp,Type,Rslt,Tm,Opp_score,eFG%,TOV%,DRB%,FT%,Opp_eFG%,Opp_TOV%,Opp_DRB%,Opp_FT%,Source_File
2024-01-20,2023-2024,Western Michigan,REG (Conf),W,84.0,79.0,0.442,14.0,27.0,0.852,0.521,15.0,25.0,0.5,bowling-green-state.csv
2024-01-23,2023-2024,Kent State,REG (Conf),L,84.0,90.0,0.483,13.0,26.0,0.765,0.563,5.0,20.0,0.731,bowling-green-state.csv
2024-01-27,2023-2024,Toledo,REG (Conf),L,72.0,88.0,0.541,10.0,19.0,0.857,0.653,9.0,25.0,0.647,bowling-green-state.csv
2024-01-30,2023-2024,Ball State,REG (Conf),W,81.0,72.0,0.589,12.0,22.0,0.75,0.519,13.0,16.0,0.818,bowling-green-state.csv
2024-02-03,2023-2024,Central Michigan,REG (Conf),L,76.0,77.0,0.377,3.0,20.0,0.656,0.549,15.0,33.0,0.625,bowling-green-state.csv
2024-02-06,2023-2024,Buffalo,REG (Conf),W,87.0,73.0,0.574,12.0,27.0,0.895,0.523,14.0,20.0,0.5,bowling-green-state.csv
2024-02-11,2023-2024,Louisiana,REG (Non-Conf),L,60.0,86.0,0.473,14.0,20.0,0.571,0.647,5.0,22.0,0.733,bowling-green-state.csv
2024-02-17,2023-2024,Eastern Michigan,REG (Conf),L,60.0,69.0,0.391,9.0,25.0,0.526,0.5,12.0,30.0,0.6,bowling-green-state.csv
2024-02-20,2023-2024,Central Michigan,REG (Conf),L,60.0,62.0,0.285,13.0,37.0,0.767,0.424,8.0,34.0,0.6,bowling-green-state.csv
2024-02-23,2023-2024,Toledo,REG (Conf),W,76.0,68.0,0.518,13.0,25.0,0.857,0.491,13.0,18.0,0.813,bowling-green-state.csv
2024-02-27,2023-2024,Miami (OH),REG (Conf),L,58.0,66.0,0.352,6.0,23.0,0.615,0.552,10.0,30.0,0.722,bowling-green-state.csv
2024-03-01,2023-2024,Ohio,REG (Conf),L,59.0,66.0,0.446,18.0,18.0,0.9,0.5,13.0,12.0,0.875,bowling-green-state.csv
2024-03-05,2023-2024,Western Michigan,REG (Conf),W,73.0,65.0,0.508,9.0,24.0,0.75,0.483,11.0,21.0,0.692,bowling-green-state.csv
2024-03-08,2023-2024,Ball State,REG (Conf),W,80.0,70.0,0.542,14.0,22.0,0.833,0.491,14.0,24.0,0.739,bowling-green-state.csv
